District,Address,Price,Rentmode,Room,Hall,Bathroom,Area,Decoration,Orientation,Floor,Maintain,Elevator,Parking,Gas,Washingmachine,Airconditioner,Wardrobe,TV,Refrigerator,Waterheater,Bed,Heating,Broadband,Naturalgas,Longitude,Latitude
思明,前埔-前埔南区文兴东二里,1250,合租,3,2,1,20.00,0,南,7,1天前,无,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.178,24.475
思明,瑞景-侨福城侨洪里,2800,整租,1,1,1,56.00,1,南,18,5天前,有,暂无数据,有,1,1,1,0,1,1,1,0,0,1,118.168,24.483
思明,文灶-领秀城,1850,整租,1,0,1,30.00,1,西北,31,5天前,有,暂无数据,有,1,1,0,0,1,1,0,0,0,0,118.117,24.467
思明,松柏-松柏大厦公寓楼,4700,整租,2,1,1,80.00,1,西/北,29,1天前,有,暂无数据,有,1,1,1,1,1,1,1,0,0,1,118.123,24.496
思明,富山-绿泉新村,4500,整租,2,1,1,66.00,0,南,7,2天前,无,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.121,24.479
思明,槟榔-天湖大厦,3500,整租,1,1,1,50.00,1,南,19,8天前,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.116,24.486
思明,莲前-源昌君悦山思明,13500,整租,4,2,2,205.00,1,南/北,42,2天前,有,租用车位,有,1,1,1,1,1,1,1,0,0,1,118.140,24.484
思明,莲花-龙山二期安置房,1800,整租,1,1,1,40.00,0,南,14,1天前,有,租用车位,有,1,1,1,0,1,1,1,0,1,0,118.148,24.486
思明,火车站-惠景新村,1800,整租,1,0,1,30.00,1,南,34,3天前,有,租用车位,有,1,1,1,0,0,1,1,0,1,0,118.130,24.469
思明,火车站-森景华庭,2500,整租,1,1,1,45.00,1,东北,35,3天前,有,暂无数据,有,1,1,1,1,1,1,1,0,0,1,118.134,24.473
思明,中山路-南轿巷,1380,整租,1,0,1,20.00,1,南,6,11天前,无,暂无数据,无,0,0,1,0,0,0,1,0,0,0,118.085,24.462
思明,火车站-银龙广场二期,2300,整租,1,1,1,37.00,1,东,14,今天,有,租用车位,无,0,0,1,0,0,0,1,0,0,0,118.113,24.474
思明,火车站-京华大厦,2700,整租,1,0,1,45.00,1,南,34,1天前,有,暂无数据,暂无数据,1,1,1,0,1,1,1,0,0,0,118.127,24.479
同安,同安区-融信·铂悦湾,1600,合租,1,0,1,30.00,0,南,6,今天,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.175,24.675
同安,同安其它-印发花园,2300,整租,3,2,2,123.00,1,南,7,今天,无,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.159,24.741
同安,环东海域-金都海尚国际,1500,合租,12,2,9,30.00,0,东南,38,7天前,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.155,24.634
同安,环东海域-保利叁仟栋一期,3300,整租,3,2,1,95.00,1,东南,46,1天前,有,暂无数据,有,1,1,1,0,1,1,1,0,1,1,118.157,24.640
同安,集美其它-禹洲大学城,2500,整租,2,2,1,85.00,0,北,24,2天前,有,暂无数据,有,1,1,1,1,1,1,1,0,0,1,118.134,24.627
同安,环东海域-中海万锦熙岸,2400,整租,3,2,1,88.00,1,南,24,今天,有,租用车位,有,1,1,1,1,1,1,1,0,0,1,118.148,24.658
同安,环东海域-金都海尚国际,3500,整租,3,2,1,113.00,1,南,40,今天,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.155,24.634
同安,环东海域-金都海尚国际,4200,整租,3,2,2,139.00,1,南/北,35,今天,有,暂无数据,有,1,1,1,1,1,1,1,0,0,1,118.155,24.634
同安,同安区-融信·铂悦湾,2800,整租,4,2,2,89.00,1,东南,39,11天前,有,暂无数据,有,1,1,1,1,1,1,1,0,0,1,118.175,24.675
同安,同安区-中联观云溪,1800,整租,2,2,1,60.00,1,南,20,4天前,有,暂无数据,有,1,1,1,0,1,1,1,0,0,1,118.142,24.666
同安,环东海域-保利叁仟栋一期,2500,合租,2,1,1,30.00,0,南,3,10天前,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.157,24.640
同安,环东海域-金都海尚国际,2300,整租,1,1,1,60.00,1,东南,40,3天前,有,暂无数据,有,1,1,1,0,1,1,1,0,0,0,118.155,24.634
同安,环东海域-后田家园,3000,整租,2,2,1,85.00,1,东南,32,5天前,有,暂无数据,有,1,1,1,1,1,1,1,0,1,1,118.133,24.614
同安,环东海域-金都海尚国际,4100,整租,3,1,2,144.60,1,南,35,8天前,有,租用车位,有,1,1,1,1,1,1,1,0,0,1,118.156,24.636
同安,同安其它-禹洲香溪里2#地块,2600,整租,3,2,2,106.00,1,南/北,30,6天前,有,租用车位,有,1,1,1,1,1,1,1,0,0,0,118.171,24.754
同安,环东海域-保利叁仟栋壹海里地块二,4000,整租,4,2,3,124.90,1,南,18,1个月前,无,租用车位,有,1,1,1,1,1,1,1,0,0,1,118.161,24.644
同安,环东海域-金都海尚国际,4800,整租,3,2,2,123.00,1,东,38,2天前,有,暂无数据,有,1,1,1,1,1,1,1,0,1,1,118.155,24.634
同安,环东海域-彩虹湾,1900,整租,3,2,2,90.00,1,东南,11,1天前,有,暂无数据,无,1,1,1,1,1,1,1,1,1,1,118.145,24.634
同安,环东海域-保利叁仟栋二期,2400,整租,1,1,1,47.00,1,东,33,2天前,有,暂无数据,有,1,1,1,0,0,1,1,0,0,1,118.157,24.639
同安,环东海域-保利叁仟栋壹海里地块一,3000,整租,4,2,2,88.20,1,南,33,1个月前,无,租用车位,有,1,1,1,1,1,1,1,0,0,1,118.160,24.644
翔安,马巷-后滨安置房二期,2500,整租,2,2,1,70.00,1,南,18,2天前,无,暂无数据,有,1,1,1,1,1,1,1,0,0,0,118.251,24.663
翔安,新店-东城合院,2500,整租,3,2,2,88.00,1,南,39,今天,有,租用车位,有,1,1,1,1,1,1,1,0,0,1,118.254,24.626
翔安,翔安新城-国贸远洋天和,2800,整租,3,2,2,94.00,1,南/北,32,1天前,有,暂无数据,有,1,1,1,1,1,1,1,0,1,1,118.264,24.589
翔安,翔安新城-国贸天成,3000,整租,3,2,2,94.24,1,东南,34,3天前,有,暂无数据,有,1,1,1,0,1,1,1,1,1,1,118.266,24.587
翔安,翔安新城-雅美家soho,1750,整租,1,1,1,40.00,1,东,27,1天前,有,暂无数据,暂无数据,1,1,0,0,1,1,1,1,1,0,118.247,24.573
翔安,新店-天玺华庭,2500,整租,3,2,2,110.00,1,南,6,3天前,无,暂无数据,暂无数据,0,0,0,0,0,0,0,0,0,0,118.254,24.602
翔安,新店-美地雅登六里,2400,整租,2,1,1,87.30,1,南/北,27,3天前,有,暂无数据,有,1,1,1,0,1,1,1,0,0,1,118.255,24.633
翔安,新店-天玺华庭,2800,整租,3,1,2,109.99,1,南,6,15天前,无,暂无数据,暂无数据,1,1,1,0,1,1,1,0,0,1,118.254,24.602
翔安,新店-首开领翔上郡三期,2100,整租,2,2,1,81.00,1,南,34,7天前,有,暂无数据,有,1,1,1,1,1,1,1,0,0,1,118.263,24.621
翔安,新店-宝嘉誉园,3500,整租,3,2,2,116.00,1,南/北,32,今天,有,暂无数据,有,1,1,1,1,1,1,1,0,0,1,118.248,24.625
翔安,翔安新城-融侨·铂樾府,2800,整租,3,1,1,89.63,1,南,34,15天前,有,租用车位,有,1,1,1,1,1,1,1,0,0,1,118.250,24.568
翔安,马巷-春江里,2300,整租,4,2,2,152.00,1,南/北,6,3天前,无,免费使用,暂无数据,1,1,1,1,1,1,1,0,0,1,118.255,24.638
翔安,新店-美地雅登一里,2400,整租,2,2,1,76.00,1,南,28,1天前,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.246,24.631
翔安,翔安新城-融侨·铂樾府,2600,整租,3,2,2,91.25,1,南,33,2天前,有,免费使用,有,0,1,0,0,0,1,0,0,0,1,118.249,24.568
翔安,翔安新城-明发半岛祥湾B区,2500,整租,2,2,1,75.16,1,南,18,1天前,有,免费使用,有,1,1,1,1,1,1,1,0,0,1,118.238,24.569
翔安,新店-东方新城三区,2200,整租,2,2,2,104.00,1,南,6,今天,无,暂无数据,有,1,1,1,1,1,1,1,0,0,1,118.255,24.621
翔安,新店-天玺华庭,2500,整租,3,2,2,125.00,1,南,16,11天前,无,暂无数据,暂无数据,0,0,0,0,0,0,0,0,0,0,118.254,24.602
翔安,马巷-万科金色悦城,2200,整租,2,2,1,75.00,1,南,35,2天前,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.267,24.665
翔安,新店-海晟颐翔湾,3000,整租,3,2,2,100.97,1,南,32,15天前,有,租用车位,有,1,1,1,1,1,1,1,0,0,1,118.254,24.623
翔安,新店-东方新城二区,1950,整租,2,2,1,78.80,1,南/北,6,5天前,无,暂无数据,有,1,1,1,1,1,1,1,0,0,1,118.255,24.621
翔安,新店-汇景新城中心,2300,整租,2,2,1,84.97,1,南,16,1天前,有,暂无数据,有,1,1,1,1,1,1,1,0,0,1,118.250,24.625
海沧,海沧区政府-天湖城天湖,5300,整租,3,2,2,132.00,1,东南,29,1天前,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.036,24.486
海沧,未来海岸北师大-金屿楼,2100,整租,3,2,2,95.00,1,东南,8,1天前,无,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.044,24.458
海沧,马銮湾东-厦门中央公园,2700,整租,4,1,2,122.49,1,南/北,34,今天,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.007,24.542
海沧,海沧体育中心-天源,1700,合租,5,1,1,30.00,0,东南,33,1天前,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.036,24.480
海沧,未来海岸北师大-京口岩居住小区二期,2600,整租,3,2,2,143.35,0,南/北,32,2天前,无,暂无数据,暂无数据,0,0,0,0,0,0,0,0,0,0,118.038,24.463
海沧,未来海岸北师大-京口岩小区,1900,整租,1,1,1,53.00,1,北,18,今天,有,暂无数据,有,1,1,1,0,1,1,1,0,0,1,118.039,24.458
海沧,海沧生活区-海福广场小区,2600,整租,2,2,1,82.00,0,南/北,6,今天,无,暂无数据,有,0,1,0,0,0,0,0,0,0,0,118.038,24.498
海沧,未来海岸北师大-京口岩小区,1900,整租,1,1,1,53.00,1,东,18,今天,有,暂无数据,有,1,1,1,1,1,1,1,0,1,1,118.039,24.458
海沧,海沧区政府-天湖城天湖,4200,整租,3,2,2,132.00,1,东南/北,30,1天前,有,暂无数据,有,1,1,1,1,1,1,1,0,0,1,118.036,24.486
海沧,滨海社区-绿苑新城一组团,3400,整租,2,2,2,89.36,1,南,18,1天前,有,暂无数据,有,1,1,1,1,1,1,1,1,1,1,118.054,24.499
海沧,马銮湾中心片区-马銮湾生活广场,2800,整租,3,2,2,63.00,1,南,19,13天前,有,暂无数据,无,1,1,1,1,1,1,1,0,0,0,118.017,24.535
海沧,海沧区政府-天湖城天湖,3600,整租,3,2,2,132.00,0,南,32,12天前,有,暂无数据,有,1,1,1,1,1,1,1,0,1,1,118.036,24.486
海沧,海沧生活区-海福广场小区,1000,合租,4,1,2,25.00,1,南,6,8天前,无,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.038,24.498
海沧,未来海岸北师大-未来海岸蓝屿山水家园,3600,整租,3,1,2,141.00,0,西南,18,2天前,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.045,24.459
海沧,未来海岸北师大-未来海岸蓝月湾一期,3300,整租,2,2,1,101.00,1,东南,31,7天前,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.040,24.465
海沧,滨海社区-鼓浪花园,3200,整租,3,2,2,137.00,1,南/北,11,今天,有,暂无数据,有,1,1,1,1,1,1,1,0,0,1,118.051,24.492
海沧,滨海社区-海晟维多利亚,3100,整租,2,2,1,89.00,1,东南,30,7天前,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.062,24.498
